docId,filename,primary topics, primary appears, secondary topics, secondary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears
1,null-source,6,0.286,12,0.143,4,0.143,15,0.071
2,null-source,10,0.350,12,0.129,9,0.117,5,0.098
3,null-source,3,0.160,9,0.116,6,0.086,7,0.078
4,null-source,1,0.163,15,0.140,12,0.128,9,0.093
5,null-source,12,0.357,1,0.147,8,0.104,10,0.083
6,null-source,12,0.286,1,0.240,15,0.110,4,0.078
7,null-source,1,0.332,9,0.188,7,0.118,6,0.085
8,null-source,15,0.320,1,0.229,9,0.186,6,0.065
9,null-source,1,0.457,9,0.146,6,0.115,3,0.074
10,null-source,1,0.328,9,0.266,6,0.094,3,0.063
11,null-source,1,0.223,15,0.217,9,0.091,3,0.080
12,null-source,6,0.154,3,0.143,1,0.126,7,0.102
13,null-source,1,0.328,9,0.111,15,0.096,12,0.086
14,null-source,1,0.440,9,0.177,6,0.109,12,0.072
15,null-source,9,0.242,1,0.168,3,0.100,7,0.084
16,null-source,1,0.357,9,0.151,15,0.110,12,0.061
17,null-source,11,0.628,4,0.066,,,,
18,null-source,5,0.589,6,0.134,13,0.071,,
19,null-source,7,0.406,1,0.103,9,0.079,10,0.067
20,null-source,7,0.463,9,0.156,6,0.083,10,0.054
21,null-source,4,0.384,3,0.197,8,0.090,5,0.060
22,null-source,5,0.282,3,0.122,8,0.114,15,0.086
23,null-source,6,0.189,3,0.123,1,0.123,15,0.117
24,null-source,10,0.222,12,0.182,1,0.111,9,0.101
25,null-source,10,0.256,8,0.162,5,0.119,4,0.102
26,null-source,12,0.237,10,0.224,6,0.066,5,0.066
27,null-source,12,0.500,4,0.091,1,0.079,3,0.066
28,null-source,9,0.316,15,0.114,12,0.097,6,0.081
29,null-source,12,0.450,5,0.117,10,0.081,15,0.059
30,null-source,8,0.478,4,0.179,15,0.059,11,0.051
31,null-source,13,0.761,12,0.054,,,,
32,null-source,15,0.264,3,0.135,1,0.099,6,0.075
33,null-source,6,0.215,15,0.191,1,0.142,9,0.091
34,null-source,8,0.436,4,0.116,3,0.074,5,0.065
35,null-source,7,0.621,11,0.057,,,,
36,null-source,12,0.514,9,0.092,3,0.077,11,0.070
37,null-source,10,0.165,8,0.159,5,0.159,4,0.104
38,null-source,7,0.359,1,0.094,15,0.086,6,0.084
39,null-source,10,0.343,15,0.153,3,0.069,8,0.061
40,null-source,6,0.344,9,0.082,12,0.071,10,0.060
41,null-source,4,0.344,11,0.140,9,0.079,8,0.074
42,null-source,3,0.285,4,0.167,5,0.132,8,0.118
43,null-source,9,0.237,15,0.093,10,0.085,6,0.085
44,null-source,6,0.237,12,0.124,3,0.102,9,0.085
45,null-source,4,0.242,8,0.200,12,0.108,5,0.067
46,null-source,5,0.251,4,0.192,8,0.150,3,0.090
47,null-source,5,0.801,4,0.092,,,,
48,null-source,6,0.397,12,0.100,9,0.068,5,0.068
49,null-source,5,0.726,4,0.081,,,,
50,null-source,6,0.238,9,0.140,5,0.116,8,0.079
51,null-source,5,0.443,4,0.156,15,0.098,9,0.057
52,null-source,6,0.242,9,0.205,1,0.114,15,0.092
53,null-source,5,0.212,4,0.177,8,0.091,6,0.085
54,null-source,5,0.467,4,0.094,9,0.066,15,0.057
55,null-source,6,0.368,3,0.099,1,0.092,9,0.069
56,null-source,6,0.362,9,0.095,12,0.090,3,0.081
57,null-source,4,0.277,8,0.114,5,0.110,15,0.101
58,null-source,2,0.500,14,0.478,,,,
59,null-source,2,0.525,14,0.453,,,,
60,null-source,2,0.506,14,0.474,,,,
61,null-source,2,0.495,14,0.485,,,,
62,null-source,2,0.501,14,0.487,,,,
63,null-source,2,0.488,14,0.482,,,,
64,null-source,2,0.501,14,0.479,,,,
65,null-source,2,0.491,14,0.477,,,,
