topicId,rank,docId,filename
1,1,16,null-source
1,2,9,null-source
1,3,14,null-source
1,4,33,null-source
1,5,7,null-source
1,6,5,null-source
1,7,13,null-source
1,8,8,null-source
1,9,15,null-source
1,10,38,null-source
1,11,27,null-source
1,12,12,null-source
1,13,10,null-source
1,14,4,null-source
1,15,55,null-source
1,16,23,null-source
1,17,11,null-source
1,18,6,null-source
1,19,32,null-source
1,20,52,null-source
1,21,28,null-source
1,22,17,null-source
1,23,56,null-source
1,24,19,null-source
1,25,3,null-source
1,26,37,null-source
1,27,35,null-source
1,28,34,null-source
1,29,48,null-source
1,30,24,null-source
1,31,44,null-source
1,32,43,null-source
1,33,25,null-source
1,34,29,null-source
1,35,20,null-source
1,36,45,null-source
1,37,40,null-source
1,38,54,null-source
1,39,42,null-source
1,40,22,null-source
1,41,18,null-source
1,42,53,null-source
1,43,50,null-source
1,44,41,null-source
1,45,31,null-source
1,46,51,null-source
1,47,39,null-source
1,48,57,null-source
1,49,49,null-source
1,50,46,null-source
1,51,30,null-source
1,52,21,null-source
1,53,2,null-source
1,54,64,null-source
1,55,63,null-source
1,56,58,null-source
1,57,47,null-source
1,58,36,null-source
1,59,65,null-source
1,60,62,null-source
1,61,59,null-source
1,62,61,null-source
1,63,60,null-source
1,64,26,null-source
1,65,1,null-source
2,1,60,null-source
2,2,64,null-source
2,3,62,null-source
2,4,58,null-source
2,5,65,null-source
2,6,61,null-source
2,7,63,null-source
2,8,59,null-source
2,9,17,null-source
2,10,30,null-source
2,11,21,null-source
2,12,4,null-source
2,13,3,null-source
2,14,12,null-source
2,15,9,null-source
2,16,53,null-source
2,17,27,null-source
2,18,8,null-source
2,19,16,null-source
2,20,41,null-source
2,21,57,null-source
2,22,39,null-source
2,23,34,null-source
2,24,33,null-source
2,25,32,null-source
2,26,23,null-source
2,27,20,null-source
2,28,55,null-source
2,29,38,null-source
2,30,54,null-source
2,31,46,null-source
2,32,15,null-source
2,33,40,null-source
2,34,35,null-source
2,35,26,null-source
2,36,22,null-source
2,37,19,null-source
2,38,11,null-source
2,39,5,null-source
2,40,56,null-source
2,41,52,null-source
2,42,29,null-source
2,43,28,null-source
2,44,14,null-source
2,45,50,null-source
2,46,49,null-source
2,47,48,null-source
2,48,45,null-source
2,49,13,null-source
2,50,7,null-source
2,51,51,null-source
2,52,36,null-source
2,53,25,null-source
2,54,6,null-source
2,55,47,null-source
2,56,44,null-source
2,57,43,null-source
2,58,42,null-source
2,59,37,null-source
2,60,24,null-source
2,61,2,null-source
2,62,1,null-source
2,63,31,null-source
2,64,18,null-source
2,65,10,null-source
3,1,21,null-source
3,2,39,null-source
3,3,42,null-source
3,4,17,null-source
3,5,53,null-source
3,6,12,null-source
3,7,30,null-source
3,8,9,null-source
3,9,22,null-source
3,10,34,null-source
3,11,32,null-source
3,12,55,null-source
3,13,3,null-source
3,14,27,null-source
3,15,23,null-source
3,16,35,null-source
3,17,38,null-source
3,18,15,null-source
3,19,57,null-source
3,20,46,null-source
3,21,25,null-source
3,22,16,null-source
3,23,5,null-source
3,24,31,null-source
3,25,4,null-source
3,26,56,null-source
3,27,44,null-source
3,28,41,null-source
3,29,33,null-source
3,30,52,null-source
3,31,13,null-source
3,32,7,null-source
3,33,2,null-source
3,34,26,null-source
3,35,14,null-source
3,36,11,null-source
3,37,8,null-source
3,38,50,null-source
3,39,28,null-source
3,40,36,null-source
3,41,43,null-source
3,42,19,null-source
3,43,49,null-source
3,44,45,null-source
3,45,40,null-source
3,46,10,null-source
3,47,61,null-source
3,48,48,null-source
3,49,24,null-source
3,50,20,null-source
3,51,51,null-source
3,52,47,null-source
3,53,18,null-source
3,54,64,null-source
3,55,58,null-source
3,56,29,null-source
3,57,65,null-source
3,58,63,null-source
3,59,60,null-source
3,60,54,null-source
3,61,37,null-source
3,62,6,null-source
3,63,1,null-source
3,64,62,null-source
3,65,59,null-source
4,1,30,null-source
4,2,21,null-source
4,3,53,null-source
4,4,41,null-source
4,5,57,null-source
4,6,17,null-source
4,7,25,null-source
4,8,34,null-source
4,9,46,null-source
4,10,39,null-source
4,11,27,null-source
4,12,42,null-source
4,13,49,null-source
4,14,47,null-source
4,15,45,null-source
4,16,16,null-source
4,17,5,null-source
4,18,54,null-source
4,19,51,null-source
4,20,37,null-source
4,21,22,null-source
4,22,12,null-source
4,23,33,null-source
4,24,28,null-source
4,25,38,null-source
4,26,11,null-source
4,27,3,null-source
4,28,52,null-source
4,29,6,null-source
4,30,55,null-source
4,31,40,null-source
4,32,31,null-source
4,33,23,null-source
4,34,56,null-source
4,35,48,null-source
4,36,35,null-source
4,37,26,null-source
4,38,32,null-source
4,39,20,null-source
4,40,13,null-source
4,41,43,null-source
4,42,15,null-source
4,43,2,null-source
4,44,44,null-source
4,45,7,null-source
4,46,4,null-source
4,47,50,null-source
4,48,19,null-source
4,49,63,null-source
4,50,36,null-source
4,51,29,null-source
4,52,14,null-source
4,53,9,null-source
4,54,8,null-source
4,55,1,null-source
4,56,65,null-source
4,57,64,null-source
4,58,61,null-source
4,59,58,null-source
4,60,18,null-source
4,61,62,null-source
4,62,60,null-source
4,63,59,null-source
4,64,24,null-source
4,65,10,null-source
5,1,49,null-source
5,2,47,null-source
5,3,53,null-source
5,4,22,null-source
5,5,25,null-source
5,6,54,null-source
5,7,46,null-source
5,8,18,null-source
5,9,39,null-source
5,10,51,null-source
5,11,57,null-source
5,12,17,null-source
5,13,34,null-source
5,14,30,null-source
5,15,42,null-source
5,16,21,null-source
5,17,5,null-source
5,18,37,null-source
5,19,29,null-source
5,20,16,null-source
5,21,12,null-source
5,22,4,null-source
5,23,48,null-source
5,24,38,null-source
5,25,31,null-source
5,26,50,null-source
5,27,28,null-source
5,28,27,null-source
5,29,35,null-source
5,30,55,null-source
5,31,41,null-source
5,32,33,null-source
5,33,26,null-source
5,34,3,null-source
5,35,2,null-source
5,36,7,null-source
5,37,32,null-source
5,38,23,null-source
5,39,44,null-source
5,40,43,null-source
5,41,13,null-source
5,42,52,null-source
5,43,45,null-source
5,44,6,null-source
5,45,56,null-source
5,46,40,null-source
5,47,24,null-source
5,48,11,null-source
5,49,20,null-source
5,50,19,null-source
5,51,65,null-source
5,52,59,null-source
5,53,36,null-source
5,54,14,null-source
5,55,9,null-source
5,56,60,null-source
5,57,15,null-source
5,58,10,null-source
5,59,8,null-source
5,60,1,null-source
5,61,64,null-source
5,62,63,null-source
5,63,62,null-source
5,64,61,null-source
5,65,58,null-source
6,1,33,null-source
6,2,55,null-source
6,3,48,null-source
6,4,56,null-source
6,5,9,null-source
6,6,53,null-source
6,7,52,null-source
6,8,40,null-source
6,9,23,null-source
6,10,12,null-source
6,11,16,null-source
6,12,38,null-source
6,13,17,null-source
6,14,44,null-source
6,15,50,null-source
6,16,39,null-source
6,17,35,null-source
6,18,14,null-source
6,19,28,null-source
6,20,20,null-source
6,21,32,null-source
6,22,41,null-source
6,23,7,null-source
6,24,3,null-source
6,25,26,null-source
6,26,22,null-source
6,27,18,null-source
6,28,8,null-source
6,29,57,null-source
6,30,11,null-source
6,31,10,null-source
6,32,30,null-source
6,33,5,null-source
6,34,54,null-source
6,35,43,null-source
6,36,34,null-source
6,37,29,null-source
6,38,21,null-source
6,39,27,null-source
6,40,4,null-source
6,41,25,null-source
6,42,24,null-source
6,43,19,null-source
6,44,13,null-source
6,45,6,null-source
6,46,37,null-source
6,47,46,null-source
6,48,31,null-source
6,49,1,null-source
6,50,42,null-source
6,51,36,null-source
6,52,15,null-source
6,53,65,null-source
6,54,64,null-source
6,55,51,null-source
6,56,47,null-source
6,57,63,null-source
6,58,62,null-source
6,59,59,null-source
6,60,58,null-source
6,61,45,null-source
6,62,2,null-source
6,63,61,null-source
6,64,60,null-source
6,65,49,null-source
7,1,35,null-source
7,2,38,null-source
7,3,20,null-source
7,4,19,null-source
7,5,16,null-source
7,6,17,null-source
7,7,9,null-source
7,8,33,null-source
7,9,12,null-source
7,10,39,null-source
7,11,7,null-source
7,12,53,null-source
7,13,15,null-source
7,14,34,null-source
7,15,27,null-source
7,16,55,null-source
7,17,32,null-source
7,18,28,null-source
7,19,3,null-source
7,20,41,null-source
7,21,5,null-source
7,22,22,null-source
7,23,48,null-source
7,24,30,null-source
7,25,26,null-source
7,26,50,null-source
7,27,46,null-source
7,28,52,null-source
7,29,4,null-source
7,30,23,null-source
7,31,57,null-source
7,32,54,null-source
7,33,21,null-source
7,34,49,null-source
7,35,31,null-source
7,36,29,null-source
7,37,25,null-source
7,38,11,null-source
7,39,36,null-source
7,40,56,null-source
7,41,47,null-source
7,42,44,null-source
7,43,14,null-source
7,44,13,null-source
7,45,63,null-source
7,46,51,null-source
7,47,43,null-source
7,48,10,null-source
7,49,8,null-source
7,50,2,null-source
7,51,6,null-source
7,52,62,null-source
7,53,61,null-source
7,54,42,null-source
7,55,40,null-source
7,56,24,null-source
7,57,65,null-source
7,58,64,null-source
7,59,60,null-source
7,60,59,null-source
7,61,58,null-source
7,62,45,null-source
7,63,37,null-source
7,64,18,null-source
7,65,1,null-source
8,1,30,null-source
8,2,34,null-source
8,3,25,null-source
8,4,53,null-source
8,5,17,null-source
8,6,39,null-source
8,7,57,null-source
8,8,46,null-source
8,9,5,null-source
8,10,22,null-source
8,11,21,null-source
8,12,16,null-source
8,13,33,null-source
8,14,27,null-source
8,15,41,null-source
8,16,42,null-source
8,17,37,null-source
8,18,45,null-source
8,19,31,null-source
8,20,15,null-source
8,21,28,null-source
8,22,26,null-source
8,23,13,null-source
8,24,55,null-source
8,25,50,null-source
8,26,48,null-source
8,27,38,null-source
8,28,40,null-source
8,29,32,null-source
8,30,44,null-source
8,31,23,null-source
8,32,7,null-source
8,33,2,null-source
8,34,35,null-source
8,35,20,null-source
8,36,54,null-source
8,37,6,null-source
8,38,24,null-source
8,39,12,null-source
8,40,9,null-source
8,41,4,null-source
8,42,3,null-source
8,43,43,null-source
8,44,29,null-source
8,45,51,null-source
8,46,49,null-source
8,47,36,null-source
8,48,18,null-source
8,49,14,null-source
8,50,52,null-source
8,51,19,null-source
8,52,65,null-source
8,53,61,null-source
8,54,59,null-source
8,55,56,null-source
8,56,47,null-source
8,57,10,null-source
8,58,8,null-source
8,59,1,null-source
8,60,64,null-source
8,61,63,null-source
8,62,62,null-source
8,63,60,null-source
8,64,58,null-source
8,65,11,null-source
9,1,16,null-source
9,2,28,null-source
9,3,9,null-source
9,4,15,null-source
9,5,33,null-source
9,6,25,null-source
9,7,52,null-source
9,8,14,null-source
9,9,7,null-source
9,10,20,null-source
9,11,8,null-source
9,12,23,null-source
9,13,10,null-source
9,14,41,null-source
9,15,3,null-source
9,16,55,null-source
9,17,39,null-source
9,18,17,null-source
9,19,43,null-source
9,20,4,null-source
9,21,50,null-source
9,22,13,null-source
9,23,56,null-source
9,24,53,null-source
9,25,48,null-source
9,26,35,null-source
9,27,30,null-source
9,28,2,null-source
9,29,32,null-source
9,30,11,null-source
9,31,44,null-source
9,32,40,null-source
9,33,54,null-source
