topicId,rank,docId,filename
1,1,57,null-source
1,2,20,null-source
1,3,19,null-source
1,4,28,null-source
1,5,43,null-source
1,6,23,null-source
1,7,2,null-source
1,8,29,null-source
1,9,32,null-source
1,10,58,null-source
1,11,55,null-source
1,12,42,null-source
1,13,12,null-source
1,14,72,null-source
1,15,69,null-source
1,16,68,null-source
1,17,71,null-source
1,18,66,null-source
1,19,51,null-source
1,20,33,null-source
1,21,75,null-source
1,22,70,null-source
1,23,56,null-source
1,24,40,null-source
1,25,39,null-source
1,26,59,null-source
1,27,47,null-source
1,28,46,null-source
1,29,21,null-source
1,30,18,null-source
1,31,7,null-source
1,32,5,null-source
1,33,73,null-source
1,34,64,null-source
1,35,63,null-source
1,36,45,null-source
1,37,38,null-source
1,38,36,null-source
1,39,22,null-source
1,40,14,null-source
1,41,10,null-source
1,42,6,null-source
1,43,4,null-source
1,44,50,null-source
1,45,35,null-source
1,46,31,null-source
1,47,9,null-source
1,48,67,null-source
1,49,62,null-source
1,50,61,null-source
1,51,60,null-source
1,52,54,null-source
1,53,52,null-source
1,54,48,null-source
1,55,41,null-source
1,56,34,null-source
1,57,27,null-source
1,58,24,null-source
1,59,16,null-source
1,60,15,null-source
1,61,13,null-source
1,62,11,null-source
1,63,8,null-source
1,64,74,null-source
1,65,65,null-source
1,66,53,null-source
1,67,49,null-source
1,68,44,null-source
1,69,37,null-source
1,70,30,null-source
1,71,26,null-source
1,72,25,null-source
1,73,17,null-source
1,74,3,null-source
1,75,1,null-source
2,1,43,null-source
2,2,57,null-source
2,3,28,null-source
2,4,29,null-source
2,5,20,null-source
2,6,2,null-source
2,7,13,null-source
2,8,45,null-source
2,9,12,null-source
2,10,47,null-source
2,11,7,null-source
2,12,75,null-source
2,13,70,null-source
2,14,64,null-source
2,15,60,null-source
2,16,58,null-source
2,17,23,null-source
2,18,56,null-source
2,19,51,null-source
2,20,42,null-source
2,21,69,null-source
2,22,68,null-source
2,23,62,null-source
2,24,59,null-source
2,25,18,null-source
2,26,73,null-source
2,27,72,null-source
2,28,44,null-source
2,29,39,null-source
2,30,11,null-source
2,31,74,null-source
2,32,54,null-source
2,33,38,null-source
2,34,33,null-source
2,35,25,null-source
2,36,10,null-source
2,37,5,null-source
2,38,66,null-source
2,39,46,null-source
2,40,41,null-source
2,41,35,null-source
2,42,34,null-source
2,43,21,null-source
2,44,15,null-source
2,45,14,null-source
2,46,9,null-source
2,47,6,null-source
2,48,4,null-source
2,49,3,null-source
2,50,71,null-source
2,51,63,null-source
2,52,61,null-source
2,53,53,null-source
2,54,50,null-source
2,55,48,null-source
2,56,37,null-source
2,57,32,null-source
2,58,31,null-source
2,59,26,null-source
2,60,22,null-source
2,61,19,null-source
2,62,1,null-source
2,63,67,null-source
2,64,65,null-source
2,65,55,null-source
2,66,52,null-source
2,67,49,null-source
