topicId,words..
1,king chief vessel people man island natives crew islands captain
2,land south colony emigration persons number government means good wales
3,men general indians kingdom inform received americans arrived war days
4,company town day board great left evening free mr general
5,ditto st ship june john place royal captain number house
6,people kingdom long half full passage inform found india property
7,country years england give make settlement society labour year family
8,mr present public made house committee bill subject time gentlemen
9,states united british state great canada america government upper act
10,river country miles trade mr governor west north part time
