docId,filename,primary topics, primary appears, secondary topics, secondary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears
1,null-source,2,0.357,13,0.143,15,0.071,11,0.071
2,null-source,14,0.202,13,0.177,6,0.177,2,0.089
3,null-source,2,0.383,6,0.173,13,0.086,7,0.062
4,null-source,13,0.306,11,0.250,15,0.167,6,0.056
5,null-source,1,0.437,4,0.140,15,0.068,11,0.051
6,null-source,10,0.258,15,0.129,9,0.129,4,0.129
7,null-source,11,0.250,5,0.188,14,0.125,7,0.125
8,null-source,13,0.263,9,0.153,14,0.150,8,0.119
9,null-source,6,0.165,13,0.155,7,0.146,14,0.097
10,null-source,6,0.324,5,0.186,9,0.176,4,0.074
11,null-source,6,0.399,9,0.103,10,0.089,4,0.075
12,null-source,15,0.173,9,0.148,10,0.136,8,0.136
13,null-source,7,0.119,1,0.119,13,0.100,10,0.094
14,null-source,4,0.219,9,0.137,12,0.123,13,0.110
15,null-source,12,0.162,15,0.135,13,0.108,9,0.081
16,null-source,10,0.419,9,0.258,13,0.097,4,0.097
17,null-source,10,0.267,3,0.267,13,0.133,11,0.133
18,null-source,10,0.342,9,0.316,6,0.063,5,0.063
19,null-source,14,0.172,3,0.155,12,0.124,5,0.096
20,null-source,10,0.240,6,0.234,9,0.109,4,0.098
21,null-source,13,0.274,2,0.207,6,0.124,8,0.066
22,null-source,13,0.500,15,0.125,7,0.125,6,0.125
23,null-source,9,0.388,10,0.266,6,0.065,7,0.061
24,null-source,7,0.601,10,0.060,6,0.050,,
