topicId,words..
1,whale boats work ship sea portion curious chief individuals extreme
2,power duke company city britain colonization coming observe view notice
3,town paisley council rev members hamilton distance grace appearance respect
4,great part state ships time purpose west mr commissioners splendid
5,fund day sum house presentation edinburgh police large committee understand
6,south colony government islands british labour resolved wales employment mother
7,company esq money board amount interest capital colonial security mortgages
8,made present public young long good hall men provost favour
9,emigration land emigrants acres colonies philip cape sold canada sales
10,number persons year australia port united sydney wales half left
11,general person pony tuesday law monroe ice family length passed
12,found miles dr congregation captain effect latitude late agent considered
13,zealand country lord john proposed means russell majesty till observed
14,mr meeting place church evening held glasgow party increase man
15,london full due prince usual greater clear dock ocean subject
