docId,filename,primary topics, primary appears, secondary topics, secondary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears
342,null-source,3,0.247,9,0.124,13,0.090,12,0.090
343,null-source,8,0.250,12,0.221,4,0.103,15,0.088
344,null-source,8,0.220,12,0.200,4,0.120,3,0.120
345,null-source,12,0.189,1,0.189,13,0.155,8,0.155
346,null-source,3,0.357,10,0.157,4,0.130,14,0.104
347,null-source,11,0.944,,,,,,
348,null-source,11,0.952,,,,,,
349,null-source,11,0.916,,,,,,
350,null-source,11,0.932,14,0.058,,,,
351,null-source,11,0.934,14,0.054,,,,
352,null-source,11,0.946,14,0.054,,,,
353,null-source,11,0.940,,,,,,
354,null-source,11,0.932,,,,,,
355,null-source,3,0.353,10,0.181,4,0.147,14,0.069
356,null-source,8,0.556,12,0.167,14,0.083,4,0.083
357,null-source,12,0.304,5,0.257,1,0.240,13,0.059
358,null-source,5,0.322,13,0.146,6,0.109,2,0.109
359,null-source,10,0.346,6,0.256,3,0.115,13,0.085
