topicId,rank,docId,filename
1,1,2,null-source
1,2,1,null-source
2,1,2,null-source
2,2,1,null-source
3,1,2,null-source
3,2,1,null-source
4,1,2,null-source
4,2,1,null-source
5,1,2,null-source
5,2,1,null-source
6,1,2,null-source
6,2,1,null-source
7,1,2,null-source
7,2,1,null-source
8,1,2,null-source
8,2,1,null-source
9,1,2,null-source
9,2,1,null-source
10,1,2,null-source
10,2,1,null-source
11,1,2,null-source
11,2,1,null-source
12,1,2,null-source
12,2,1,null-source
13,1,2,null-source
13,2,1,null-source
14,1,2,null-source
14,2,1,null-source
15,1,2,null-source
15,2,1,null-source
