topicId,words..
1,holland hunter bold separate coal formed passage plenty sydney leaving
2,port coals lieutenant report sailed straits england miles working sold
3,mr purpose flourishing shoals easily sail wilson discover entered nature
4,fourth made capable survey anna state text
5,year render attempted lies diemens schank vessel time boats obtain
6,water south part distance account visited loaded cut crops walesthe
7,found king governor lady cape shipping difficult sheltered fine offing
8,grant cape brig jackson tide lying procured harbour western van
9,newspaper article higher extent sliding ton rix spars longer floods
10,abundance promontory shells fathoms deep westward straits resembling pentrated josepha
11,river country observes sailed passed captain built immediately horn qualified
12,colony settlement advantage round successful left
13,land wood survey nelson returned keels kind arrived kingdom day
14,obtained moderate general porpoise particulars keywords month
15,coast order favourable latitude burthen accompanied otaheite failed supplying communication
